107.35 	4.46 	31.37 	piano
154.43 	10.77 	52.28 	piano
34.24 	0.28 	8.94 	piano
20.81 	0.14 	5.05 	piano
54.10 	2.14 	15.86 	piano
46.29 	0.76 	12.05 	piano
41.09 	0.84 	12.05 	piano
139.40 	12.81 	50.70 	piano
60.81 	1.58 	17.95 	piano
67.58 	2.26 	19.00 	piano
25.03 	0.33 	6.27 	piano
141.90 	11.95 	53.14 	piano
91.01 	9.67 	35.15 	piano
16.60 	0.12 	4.01 	piano
85.35 	1.39 	22.83 	piano
112.04 	3.32 	29.94 	piano
102.66 	1.79 	26.36 	piano
179.08 	5.68 	49.68 	piano
137.95 	2.99 	37.06 	piano
228.75 	9.66 	66.02 	piano
150.88 	6.19 	45.63 	piano
155.62 	3.40 	41.03 	piano
112.87 	1.96 	29.48 	piano
281.88 	14.66 	86.61 	piano
62.30 	0.89 	16.52 	piano
78.50 	2.04 	20.82 	piano
72.27 	1.07 	18.50 	piano
117.67 	3.29 	32.28 	piano
92.73 	1.67 	24.73 	piano
150.58 	5.69 	43.08 	piano
102.75 	3.69 	30.78 	piano
104.88 	2.00 	27.52 	piano
76.65 	1.21 	19.94 	piano
182.71 	8.41 	55.78 	piano
221.31 	13.86 	69.62 	piano
427.29 	32.09 	138.50 	piano
274.55 	16.52 	84.41 	piano
352.25 	22.47 	114.44 	piano
454.85 	34.22 	148.18 	piano
380.87 	27.09 	124.95 	piano
96.35 	7.92 	32.75 	piano
113.40 	9.08 	40.16 	piano
96.72 	5.45 	31.22 	piano
128.56 	9.52 	44.44 	piano
150.06 	14.00 	52.19 	piano
149.30 	11.53 	50.70 	piano
131.66 	10.83 	46.12 	piano
109.51 	7.07 	35.57 	piano
85.17 	5.69 	28.55 	piano
151.90 	13.81 	53.29 	piano
167.39 	13.49 	56.74 	piano
133.73 	11.41 	45.11 	piano
146.18 	12.23 	50.25 	piano
63.89 	5.52 	23.45 	piano
101.27 	7.88 	34.63 	piano
89.20 	5.44 	28.39 	piano
95.29 	7.62 	32.41 	piano
164.62 	16.57 	58.95 	piano
78.59 	5.42 	26.12 	piano
83.64 	4.55 	26.42 	piano
118.46 	12.47 	42.61 	piano
21.70 	0.60 	5.99 	piano
14.85 	0.35 	4.07 	piano
15.87 	0.17 	4.08 	piano
24.73 	0.78 	7.70 	piano
13.61 	0.19 	3.88 	piano
71.73 	5.53 	23.98 	piano
76.06 	5.57 	25.09 	piano
21.61 	0.35 	5.79 	piano
12.78 	0.06 	3.02 	piano
17.03 	0.31 	4.51 	piano
12.36 	0.20 	3.17 	piano
85.55 	8.44 	30.36 	piano
23.76 	0.62 	6.73 	piano
12.25 	0.07 	2.95 	piano
15.14 	0.33 	4.20 	piano
38.74 	2.35 	12.00 	piano
15.80 	0.60 	5.30 	piano
100.34 	7.36 	34.15 	piano
116.56 	8.78 	40.39 	piano
114.77 	9.07 	39.62 	piano
105.27 	6.16 	34.75 	piano
144.10 	11.12 	49.73 	piano
105.12 	9.84 	38.44 	piano
102.20 	7.39 	35.62 	piano
103.59 	6.60 	34.49 	piano
118.28 	9.18 	39.91 	piano
105.25 	8.57 	36.49 	piano
67.43 	4.29 	21.17 	piano
76.15 	4.33 	23.90 	piano
111.90 	8.31 	38.33 	piano
118.56 	8.45 	40.58 	piano
131.43 	10.78 	46.51 	piano
84.07 	8.59 	36.09 	piano
144.91 	43.59 	82.99 	piano
43.33 	1.19 	11.95 	piano
29.56 	0.66 	7.86 	piano
30.89 	0.37 	8.10 	piano
49.70 	1.56 	15.43 	piano
27.69 	0.39 	7.88 	piano
135.69 	9.92 	44.86 	piano
157.59 	12.23 	52.56 	piano
44.12 	0.71 	11.80 	piano
25.53 	0.12 	6.03 	piano
34.38 	0.62 	9.08 	piano
24.30 	0.39 	6.24 	piano
169.17 	16.94 	60.13 	piano
52.06 	1.47 	14.92 	piano
24.61 	0.14 	5.92 	piano
30.23 	0.66 	8.38 	piano
76.87 	4.67 	23.83 	piano
30.78 	0.59 	8.52 	piano
24.07 	2.85 	13.70 	piano
250.49 	17.98 	79.86 	piano
238.89 	16.11 	76.86 	piano
315.98 	25.31 	101.25 	piano
385.14 	33.44 	127.33 	piano
172.98 	11.24 	55.12 	piano
145.38 	8.09 	50.66 	piano
185.66 	11.18 	59.83 	piano
223.20 	13.75 	77.06 	piano
162.23 	9.78 	53.27 	piano
186.54 	11.80 	58.98 	piano
215.35 	14.00 	71.50 	piano
125.11 	6.31 	39.99 	piano
206.90 	14.32 	66.49 	piano
214.00 	13.91 	68.17 	piano
